情感值,Likert量值,句平均情感值,Likert量值,内容
3,0,3,0,孩子用了说效果不太明显，用用看吧
0,0,0,0,2016/4/18
21.6,2,21.6,2,不错，很好用，满意的购物。
-8,-1,-8,-1,感觉不怎么样
-4,0,-2,0,待验证。不知道效果如何
9,1,4.5,0,用了两次，感觉不错。但愿对女儿的痘痘有用。
9,1,9,1,好，用了几天就看出效果了
15,1,15,1,用了好几天了感觉不错
0,0,0,0,有点效果???
0,0,0,0,用了挺久的，但是感觉背上还是有螨虫的感觉。
18.6,2,18.6,2,物美价廉 物有所值 超喜欢
0,0,0,0,好像有点作用！
16.8,2,16.8,2,老公说超好用，信赖京东
-2.4,0,-2.4,0,没有什么效果
0,0,0,0,…………凑合
9,1,9,1,收到货感觉质量和款式不错。
8,1,8,1,还没用 准备屯着夏天用 先给个赞
6,1,6,1,感觉还行。
3,0,3,0,效果可以，
0,0,0,0,可以
15,1,15,1,背部痘痘√植物除螨√控油止痒√健康祛痘 季德胜百部提取香皂除螨手工皂固体沐浴露 100g
7,1,2.33,0,促销的时候买了试试的，用了一段时间了，对我来说效果还是挺不错的，我是一到晚上身上就开始痒，挠了皮肤就起块。现在基本没有这个现象了。就是价格贵大了
2,0,1,0,用了几次了，跟普通香皂差不多。就哪样。
0,0,0,0,。。
6,1,6,1,还行吧
28,3,28,3,活动买的，价格实惠，大品牌，值得信赖
14,1,14,1,好实惠点的时候就是这样想我
23.8,2,23.8,2,很不错值得买
0,0,0,0,没什么作用
14.3,1,14.3,1,用起来挺舒服的，似乎挺有效
-4.36,0,-2.18,0,没啥效果的，背上的痱子还是没有减少！失望
-5,0,-2.5,0,根本没有什么反应。。骗子！！！！
-4,0,-4,0,一般般吧。。。。。。。。。
5.2,1,5.2,1,用的太快了，太小了，没怎么感觉得出来
-7.2,-1,-7.2,-1,正在用，还不清楚效果
-2.4,0,-2.4,0,用了几天还没见效果，再用些天试试
0,0,0,0,暂时没什么感觉，选给满分，回头再评价
4,0,2,0,好用，用了几天还是有疗效的！下次还来买
0,0,0,0,！！！！！！！！！！！！！！
3,0,3,0,用了几天效果不是太明显呀，再用用试试
-6.5,-1,-6.5,-1,|太贵
0,0,0,0,还可以吧
-3,0,-3,0,效果不明显啊
10.2,1,5.1,1,还不错，好像是有效果的！就是太贵
0,0,0,0,还可以吧
16,2,16,2,老公说还不错有效果
20.4,2,20.4,2,很好，，，正在使用，效果不错
19,2,19,2,用了，感觉挺不错的，快递小哥服务挺好的
9,1,9,1,买了2块，用了一块，舒适度还可以，价格要是能低一点，那我会考虑以后更多的买。
-4,0,-4,0,一般般………………
21.6,2,21.6,2,螨虫香皂很好用，每天洗澡，背上舒服多了
24,2,24,2,背部痘痘√植物除螨√控油止痒√健康祛痘 季德胜百部提取香皂除螨手工皂固体沐浴露 100g不错
6,1,6,1,用完了才来评价  挺好的  用了最起码皮肤不痒了
9,1,9,1,东西不错，用了几次，背上没那么多小痘痘了
-4.8,0,-4.8,0,没发现有什么特别
14,1,14,1,很好，物流很快
-1,0,-0.5,0,好?好多了啊啊哦可怜了
3,0,3,0,还没使用，看看效果再来
8,1,8,1,一块普通的香皂，屁事不丁
0,0,0,0,应该可以吧
0,0,0,0,dhhdhdhdhdhdhdhdh
0,0,0,0,用着没什么感觉，跟平常一样
9,1,9,1,不错
6,1,6,1,好啊
0,0,0,0,63828
0,0,0,0,有变化
9,1,9,1,非常好
9.8,1,9.8,1,去油很有效
9,1,9,1,不错
0,0,0,0,正在试用
8,1,8,1,好用好用
9,1,9,1,不错的
9,1,4.5,0,还没用呢！但看着不错，还贴心的送了礼物?
-2,0,-2,0,好像没啥用，价格很贵，估计以后不会买了，就当一般的香皂用
6,1,6,1,好
0,0,0,0,。。。
24.8,2,24.8,2,香皂很好用，很香。
6,1,6,1,行
0,0,0,0,试试看
6,1,6,1,好
4,0,4,0,特好使，真去痘。
11.2,1,11.2,1,正在用，味道很香
0,0,0,0,这个用着还真的可以，反正用的时候身上没有痘痘
18.2,2,6.07,1,明显觉得有效果。用起来很舒服。易冲洗。
60,3,60,3,好好好好好好好好好好
9,1,9,1,清香，效果不太明显，毕竟不是药
24,2,24,2,不错不错 好……！……！
7,1,7,1,有效果，但是物流太慢了
90,3,90,3,好好好好好好好好好好好好好好好
7.2,1,7.2,1,还不错，虽然效果没有特别明显
6,1,6,1,好。。。。。。。。。。。。。。。。。。。。。。。。
0,0,0,0,，
-7.2,-1,-7.2,-1,骗人的不好使，用了还出油起痘
6,1,6,1,好
9,1,9,1,用的还挺行吧，好小一块感觉有点贵了
0,0,0,0,试用中
0,0,0,0,用着，用着就没什么药味了。
2.4,0,2.4,0,刚用有一点效果，直得买
0,0,0,0,还可以吧
0,0,0,0,感觉真的有用
14,1,14,1,看评论挺不错的，所以就买了，还没有用，不知道效果如何，但是客服还不错
-1.6,0,-0.8,0,刚用。。不知道有没有用
26.4,3,26.4,3,不错不错，正在使用很好
3,0,3,0,夏天用挺适合
0,0,0,0,刚到，先用着看吧
-2.4,0,-2.4,0,没发现什么效果
24,2,24,2,个人觉得非常好，以前洗完澡身上就痒，尤其是毛巾擦过后更痒的厉害，还以为毛巾问题，换条后还是一样，这肥皂洗了几次后虽然还痒，但是轻微的，好神奇
-1.6,0,-1.6,0,不知道有没有用了，没什么味道
-14.5,-1,-14.5,-1,太贵了，不怎么样
43.68,3,43.68,3,味道很大，不过效果确实不错啊，真心信誉，确实不错！
28.2,3,28.2,3,香皂用了，感觉不错，味道也很喜欢
12,1,12,1,用了好几天了感觉挺好的，用没了还会买的
7.58,1,7.58,1,没毛病，有点效果！
11.4,1,11.4,1,用了几回，还不错，有一点效果
0,0,0,0,使用中
13,1,13,1,有清香的味道，洗了有效
3,0,3,0,货收到以后，用了一段时间，效果一点都没有
8,1,8,1,还可以吧  反正用着挺香的。
6,1,6,1,用的还行吧，具体还要再继续用下去
-4,0,-4,0,也太小了，花得不值，看这图手掌这么大块才买的，效果一般，泡沫挺多的
9,1,9,1,不错
3.3,0,1.65,0,一直在用，效果不太明显！会继续使用下看好不好！
22.9,2,11.45,1,希望给力，还没用，一下子买了很多！效果好了还会买！
18.2,2,18.2,2,很好用，有植物清香味，又好闻！
3,0,3,0,给家人买的，用后再评价效果
6,1,6,1,挺好
0,0,0,0,2016/5/21
12,1,12,1,帮朋友卖的，听说还行吧
-12,-1,-12,-1,差差越用还痒痒
6,1,6,1,好
17,2,17,2,自从用了它，身上的红的明改善了，要是便宜点就好了
17.4,2,8.7,1,非常好，正版。。。。。。。很好、！！！！
6,1,6,1,还行吧用了再评价
0,0,0,0,1.37688E+20
36,3,36,3,好好好好好好
9,1,9,1,不错
-4,0,-4,0,一般般
2,0,2,0,好东西，痘痘少很多
6,1,6,1,还行吧
0,0,0,0,给儿子买的
12,1,12,1,好好
6,1,6,1,还好。。。。。。。。。
4,0,4,0,好用
-9,-1,-9,-1,要不是特价根本不会买，价格这么高，根本没效果，反而还长了几个痘痘，差评！
10.8,1,10.8,1,知道了物流还可以吧不算快也不算慢用了之后效果还可以蛮不错的啦
31.9,3,15.95,2,京东大品牌值得信赖!物美价廉!
0,0,0,0,没有一点作用，用完了一块
19,2,19,2,清洁效果好，除螨效果待使用之后评价
0,0,0,0,还没使用
-2.4,0,-2.4,0,没啥效果，痘痘依旧
0,0,0,0,可以
5,0,5,0,不错，老公背上的豆豆少了很多
0,0,0,0,还在试用中
9.9,1,9.9,1,东西不错！.................
3,0,1.5,0,刚刚开始用。  效果以后看吧。
6,1,6,1,好
28,3,28,3,看着不错，挺香的，期待效果吧
21,2,21,2,挺好的   挺好的   习惯不错
6,1,6,1,好
13.5,1,13.5,1,非常不错  而且是打折时候买的  非常nice
12.32,1,12.32,1,真的很好用哦，而且物流也很快，下次一定要多买几块的
9.9,1,9.9,1,好评！
0,0,0,0,试试吧！！！！！！！！！！！！！
-5,0,-5,0,有些用老公说，价格贵
20.4,2,20.4,2,不错的，效果很好。。
-25.8,-3,-25.8,-3,不得不说，这个广告配图真恶心！！！
-17,-2,-17,-2,不怎么样，上当了
0,0,0,0,还可以，，，，。
2,0,2,0,一个字“好”，背上豆豆多少年了，洗了一块皂，明显少多了，马上再买！
6,1,6,1,好
12.3,1,6.15,1,男票说用了还不错，让我在降价时在买几块！哈哈！
-4,0,-2,0,普普通通吧！没有那么好用！
13,1,13,1,这个味道蛮好闻的，希望有用吧
5,0,5,0,感觉就是一个普通的香皂，效果不明显。
14,1,14,1,希望有效果
13.2,1,13.2,1,用了以后，感觉很好，不油腻了，背上痘痘也消了很多
6,1,6,1,用了两天来评价，去油效果一般，其他的还行。
9,1,9,1,质量还不错，下次还会购买的，
0,0,0,0,还没用
-4,0,-4,0,用过一段时间才来评价，感觉有用，小痘痘少多了
4,0,4,0,用了一段时间才来评价，的确是好产品，谁用谁知道，皮肤的红点少了
19.5,2,19.5,2,非常满意，服务不错。
5.42,1,1.36,0,在京东买完东西，灵感就来了，好想做首诗:啊！骏马啊，你四条腿，大海啊，你全是水！！！（复制）（粘贴）（复制）（粘贴）（东西太多懒得一一评论）
-6,-1,-6,-1,。。。。。好坑人
6,1,6,1,好
0,0,0,0,还可以
23,2,23,2,不错，香味好闻，做活动买的
0,0,0,0,193954074
14.4,1,14.4,1,香皂效果不错，有一股中药味，洗完之后皮肤很少发炎，用过一段时间再来评价的。
9,1,9,1,还是不错的
-7.7,-1,-7.7,-1,就和洗衣皂没什么区别，一点中药味都没有，而且还很贵！
0,0,0,0,还没用！等用过在说。
0,0,0,0,无什么作用的
-3,0,-3,0,一般
21.6,2,21.6,2,用着不错，味道也很舒服，效果就不知道了，用用看吧
12,1,12,1,收到，还没使用，包装不错，效果咋地，还得用用再说？
0,0,0,0,正在使用中
21,2,21,2,非常好，效果也不错
4.8,0,2.4,0,真的管用 后背出汗时不痒了 痘痘也少了很多。。不错。。。
5.28,1,5.28,1,还没有用不知道怎么样好不好用
4,0,4,0,好用
0,0,0,0,用着还可以
9.8,1,9.8,1,很干净
-4,0,-4,0,用了几次，不知道效果如何
25.4,3,25.4,3,味道很好闻，期待效果也好。
6,1,6,1,还行
6,1,3,0,儿子正处青春期，背后长小痘痘，用了一块，也不是很明显。就是说干爽。
17.4,2,17.4,2,东西不错，很好
15.2,2,15.2,2,用了以后还真不错，皮肤痒的情况有缓解，不知道能不能保持。
0,0,0,0,感觉还可以
17,2,17,2,看评价不错，用过后才知道，好了继续
6.3,1,6.3,1,厂品使用效果可以，有明显效果！
22,2,22,2,包装完好，速度挺快，效果也不错
0,0,0,0,还可以吧
21,2,21,2,东西很满意很喜欢。
2,0,2,0,专门用了半个月才来评价，效果还可以，小疙瘩少了，皮肤也光滑了些，就是价格感觉有点高。
0,0,0,0,嗯嗯嗯嗯嗯嗯嗯嗯呢哦
36,3,36,3,好好好好好好
23.4,2,23.4,2,好，很好，非常好
0,0,0,0,不错?
4,0,4,0,好用
9,1,9,1,还没用，希望是真货，图片吓人
-4,0,-4,0,快递不咋地，都不实时更新，东西门卫签收了也不提示
3,0,3,0,试了几次了，可能效果比较慢，没有副作用！！！
10.8,1,5.4,1,不好意思，现在才评价。我用了，效果真的不错，用完我还打算买
0,0,0,0,感觉不太明显，在在用
21.4,2,21.4,2,用得挺舒服的，效果就不知道，反正背部还有红逗逗长
17.4,2,17.4,2,产品功效不错，用了很好。
12,1,6,1,商品给力，京东是我购物的主要途径。商品给力，京东是我购物的主要途径。
4,0,4,0,ok
3.3,0,3.3,0,不知有没有效果，止痒不太明显。
0,0,0,0,用了很久才来评价，是想看看效果怎样，好像皮肤光滑一点，鼻子的黑头就明显少了，还是有点用。
11,1,11,1,一般，香味还行
0,0,0,0,效果一般，拿来当普通肥皂使用，还可以的！
12.4,1,12.4,1,用起来很好，一直忘了评论，好评
0,0,0,0,正在用，
14.3,1,14.3,1,还没有用呢，看着比较高大上
0,0,0,0,还可以吧，PS：超过十个字没有
0,0,0,0,有点作用
15,1,15,1,不错，用着挺好的，还不痒
8.4,1,8.4,1,很好，
-2.4,0,-2.4,0,好像没什么效果
34.9,3,11.63,1,还收到小礼物。快递小哥也很给力。果断好评！！！！
6,1,6,1,好～～～～～～～～～～～～～
19.88,2,19.88,2,货早就收到，还有赠品，真不错！
6,1,6,1,好。
0,0,0,0,还在使用中
16,2,16,2,东西不错，活动买的便宜
0,0,0,0,l'po'g'ni'di'yi'ding
-4.8,0,-4.8,0,没有想象中的好
15,1,15,1,东西不错用着挺好的，下次还来
12,1,12,1,效果不错，价格有点高
26.6,3,26.6,3,味道如幽谷兰香，包装简美大方，买过几次店内的东东，感觉很好用，推荐。
4.8,0,4.8,0,真好用
23.76,2,11.88,1,速度不错很快！产品质量还可以，洗了几次有效果的！
0,0,0,0,还可以…
6,1,6,1,好
13,1,6.5,1,还不错..好用..
0,0,0,0,2016/5/21
0,0,0,0,效果一般
0,0,0,0,才用了一次，除了有点太干之外，其他还可以吧，
-3,0,-3,0,一般
-2.4,0,-2.4,0,还没发现啥效果
21.6,2,21.6,2,秒杀的时候买的    东西很不错    用了效果也好
4,0,4,0,买了还没用，不过还算快送到来
-3.2,0,-3.2,0,不怎么好用，，，，，
0.35,0,0.35,0,买回来一直没用，也不知道有没有效果！
-5.4,-1,-5.4,-1,用了几次感觉没什么效果，一般吧
0,0,0,0,就回家聚聚江湖救急结婚
-4,0,-4,0,一般般，
-4.32,0,-4.32,0,用了一个月多了，貌似没什么好转呢
6,1,6,1,挺好
-20.2,-2,-20.2,-2,垃圾，太垃圾，8天了都没有看到货，我打电话一问说不好意思丢人
0,0,0,0,可。。。。。。。。。。。。。。。
9,1,9,1,习惯好评
2.4,0,1.2,0,物流快，质量还不知道。没有用。
14,1,14,1,还行吧，当香皂用了
6,1,3,0,才用还不知道什么效果。好用了再推荐
0,0,0,0,用过之后皮肤干干的
11,1,11,1,使用中，期待效果
9,1,9,1,不错特价买的
25,2,12.5,1,用了几天，效果不是很明显，期待长期使用效果！习惯性好评！
36,3,36,3,好吧好吧哈哈哈哈宝贝
13,1,13,1,第一次买，觉得还不错，好用的话会再来的。
4,0,2,0,好用，用了一段时间来评论的，时间证明一切！！顶
-16.6,-2,-16.6,-2,不合格产品，不要买用二天就坏了，后悔死了
-2.4,0,-2.4,0,用了半个月了感觉也没有效果，没用的东西
-4,0,-4,0,不知道除螨效果如何
-1.6,0,-1.6,0,还没有用，不知道怎么样
12.1,1,12.1,1,还没试用，期待效果！
-3,0,-3,0,难闻
16.8,2,16.8,2,洗了几次很好用  我很喜欢
38.3,3,38.3,3,好好好洗的也很干净非常满意
5,0,5,0,评价大于20元的商品有机会获得京豆哟。。。。。。。。
9,1,9,1,不错
1.5,0,1.5,0,用了这么久，一点点效果都没有
-4.8,0,-4.8,0,不好
0,0,0,0,666
-2.4,0,-2.4,0,使用中，没什么效果
7,1,7,1,效果不怎么样，去油的效果还不错
10,1,5,0,还不错。味道也不难闻就是不知道效果怎样
8,1,8,1,有用，试试吧，用过知道了，挺好的。
6.4,1,3.2,0,正在使用，不知道祛除螨虫后是什么样的。期待着。
6,1,6,1,好
16.4,2,16.4,2,用了两三次，有些效果早药味很浓，值得拥有。
0,0,0,0,2016/6/2
11,1,11,1,期待效果
6,1,6,1,好
-3,0,-3,0,商品一般，价格也就是那个样
3,0,3,0,包装好，效果待看。
-2.2,0,-2.2,0,刚用感觉有点效果，一段时间以后一般般
-3,0,-3,0,一般
0,0,0,0,刚在用，应该还可以吧
6,1,6,1,还行
0,0,0,0,还可以
12,1,12,1,使用后效果不错。
-3,0,-3,0,一般吧
-4,0,-4,0,东西在用还不知道效果。
0,0,0,0,还可以吧
6,1,6,1,货好
33,3,33,3,很好很不错，一直信赖京东。
12.2,1,12.2,1,用着很温和，泡沫进眼睛也不难受。
-3.2,0,-3.2,0,不好用
4,0,4,0,好用
30,3,30,3,贴心，商家还赠送了小赠品，谢谢哈
-4,0,-4,0,一般般，也没感觉出来有多大不一样，心理作用多一些
27.6,3,27.6,3,用着很好，很舒服，对痘痘有作用，赞一个
7.4,1,7.4,1,还不错，没有像其他除螨的香皂那样有刺激的味道。
23.7,2,23.7,2,第一次用这个香皂，效果非常好，我是油性皮肤，脸上还有痘痘，用了一段时间后，痘痘少了，皮肤的油性得到有效的控制！
-1,0,-1,0,骗人的，买来几十块，用不到1星期没了，哪有什么效果，不如买3块钱的舒肤佳
12,1,12,1,okokok
-7.2,-1,-3.6,0,没啥效果，有点夸大宣传。而且物流超慢。
0,0,0,0,才开始用，感觉还可以
16,2,16,2,幸福是，下班一起走回家的路，对了吗？
-2.4,0,-2.4,0,用了2天，目前还没什么效果，过几天在看吧！
-4.8,0,-4.8,0,感觉还可以吧，味道不怎么好闻
0.1,0,0.1,0,很好的，忘记来评论了，不好意思啊！
6.6,1,6.6,1,十分好
10.4,1,10.4,1,用了，泡馍细腻，洗完皮肤光滑，但还是有豆豆，不知道是什么原因
1.8,0,1.8,0,用了有点效果
-5.76,-1,-5.76,-1,完全没用，气味很重很怪，纯粹扯蛋
12.8,1,12.8,1,质量很好，就是用的比较快，这是买的第二次了
17,2,17,2,肥皂包装很好，一看就是正品，用起来很起沫，味道也不错，用一段时间才知道有没有效果
3,0,3,0,效果不大，可能是用的时间还不够吧
2,0,2,0,味道挺好的，后背痘痘少了
0,0,0,0,还没用
42.2,3,21.1,2,本人背部偏油性，个人觉得用了这个香皂洗澡后很舒服，去油挺好，也不怎么痒了，不过还是有小疙瘩。香味也不错
20.8,2,6.93,1,不错，应该是正品。其实就是心里感觉有必要买，但实际上貌似没有必要买哈。质量不错
-3,0,-3,0,效果不明显
7,1,7,1,确实有用，洗了两次身上就不痒了，满意
6,1,6,1,挺好的
9,1,9,1,不错
-20,-2,-20,-2,普普通通的一块肥皂卖30多块而且还是限时抢购的，无语，骗子
72,3,72,3,好好好好好好好好好好好好
6,1,6,1,好
-5,0,-5,0,效果不理想
6,1,6,1,感觉还好
17,2,8.5,1,买给朋友用的，感觉应该不错吧。所以期待
3.3,0,3.3,0,不知有没效果
-3.8,0,-3.8,0,感觉没上次买点好，要求开发票了，结果没有
8.6,1,8.6,1,效果很好用了之后感觉就没有了
23,2,23,2,还没使用，上次买的那款用着不错，希望这个有效果吧
9.4,1,3.13,0,这个不带骗人的，真的好用，用了几次就有效果了！不过还是有不满意的地方，就是打泡泡的那个东东设计的没那么人性化！希望改进一下！
4.8,0,4.8,0,用了一段时间，应该说还是有点效果，如果长期使用效果明显的话，还会继续买的。
10.4,1,5.2,1,这么贵的香皂效果没想像中的好，用了几次皮肤还是痒。快递发的邮政也很垃圾，找个人代收发个短信就完事了，也不打个电话。
0.32,0,0.32,0,还可以吧，不知道有没效果
-5.5,-1,-5.5,-1,一点效果都没有，还那么贵，坑，用了没效果又不能退货
-6.4,-1,-6.4,-1,没感觉咋样，不像描述的那样神奇
-2.4,0,-2.4,0,感觉不出什么效果，当洁面乳用
6,1,6,1,好
5.6,1,5.6,1,肥皂质量还可以，有药味，用起来很快就完了
6,1,6,1,刚开始用，还不错，有点贵
4,0,4,0,第二次购买了，洗脸洗澡都好用
-2.4,0,-2.4,0,不知效果怎样，会坚持的！
23,2,23,2,东西不错，值得拥有……！
-4,0,-4,0,还没用，不知道效果
6.8,1,6.8,1,已经用了  过几天再说了  现在有点效果
6.6,1,6.6,1,好！！！！！！！！！！！
-6.5,-1,-6.5,-1,太贵需要也得买
14,1,14,1,还没用呢，希望有效果吧，赠送了一个起泡网
17.4,2,8.7,1,东西很好.用着效果蛮好的.
-1,0,-0.5,0,一般般…效果不大
0,0,0,0,还没用呢
-3,0,-3,0,一般
0,0,0,0,............
16.4,2,16.4,2,洗噢爱国很好还会I可买
3,0,3,0,采用一次，效果还没出来。
0.32,0,0.32,0,不知道有没有效果，先用用
-2,0,-2,0,香皂闻着有股怪味 用起来不知道效果如何 还有待体验
-2.4,0,-2.4,0,*的淝皂，还没效果
-16,-2,-16,-2,纯属假货 质量特差 算了没得质量
-4,0,-4,0,一般般
-5.6,-1,-5.6,-1,还没开始用，不知有效果不。
6,1,6,1,好，????????????
-5.6,-1,-5.6,-1,没觉得有效果。。。。。
15.4,2,15.4,2,闻起来还蛮好的，就是有点贵，没想象中大，京东快递很给力
9,1,9,1,味道不错
0,0,0,0,欧珀红顶您送
6,1,6,1,用了感觉好多了
-4.4,0,-4.4,0,一般般吧！！
0,0,0,0,买来试一下
9,1,9,1,特价是购买的，还是不错的。
3,0,3,0,还在用，效果以后追加。
